PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,brca1-p1_activity-Activity_Score,brca1-p1_activity-Curve_Description,brca1-p1_activity-Fit_LogAC50,brca1-p1_activity-Fit_HillSlope,brca1-p1_activity-Fit_R2,brca1-p1_activity-Fit_InfiniteActivity,brca1-p1_activity-Fit_ZeroActivity,brca1-p1_activity-Fit_CurveClass,brca1-p1_activity-Excluded_Points,brca1-p1_activity-Max_Response,brca1-p1_activity-Activity at 0.092 uM,brca1-p1_activity-Activity at 0.184 uM,brca1-p1_activity-Activity at 0.258 uM,brca1-p1_activity-Activity at 0.337 uM,brca1-p1_activity-Activity at 0.369 uM,brca1-p1_activity-Activity at 0.517 uM,brca1-p1_activity-Activity at 0.737 uM,brca1-p1_activity-Activity at 0.922 uM,brca1-p1_activity-Activity at 1.290 uM,brca1-p1_activity-Activity at 1.840 uM,brca1-p1_activity-Activity at 2.115 uM,brca1-p1_activity-Activity at 2.587 uM,brca1-p1_activity-Activity at 3.690 uM,brca1-p1_activity-Activity at 4.610 uM,brca1-p1_activity-Activity at 6.450 uM,brca1-p1_activity-Activity at 9.218 uM,brca1-p1_activity-Activity at 12.69 uM,brca1-p1_activity-Activity at 18.70 uM,brca1-p1_activity-Activity at 36.87 uM,brca1-p1_activity-Activity at 46.10 uM,brca1-p1_activity-Activity at 64.71 uM,brca1-p1_activity-Activity at 92.20 uM,Compound QC
RESULT_TYPE,,,,,,,STRING,FLOAT,FLOAT,STRING,INTEGER,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING
RESULT_DESCR,,,,,,,"Indicates type of activity observed: inhibitor, activator, fluorescent, cytotoxic, inactive, or inconclusive.","Concentration at which compound exhibits half-maximal efficacy, AC50. Extrapolated AC50s also include the highest efficacy observed and the concentration of compound at which it was observed.","Maximal efficacy of compound, reported as a percentage of control. These values are estimated based on fits of the Hill equation to the dose-response curves.",Annotation/notes on a particular compound's data or its analysis.,Activity score.,"A description of dose-response curve quality. A complete curve has two observed asymptotes; a partial curve may not have attained its second asymptote at the highest concentration tested. High efficacy curves exhibit efficacy greater than 80% of control. Partial efficacies are statistically significant, but below 80% of control.",The logarithm of the AC50 from a fit of the data to the Hill equation (calculated based on Molar Units).,The Hill slope from a fit of the data to the Hill equation.,R^2 fit value of the curve. Closer to 1.0 equates to better Hill equation fit.,The asymptotic efficacy from a fit of the data to the Hill equation.,Efficacy at zero concentration of compound from a fit of the data to the Hill equation.,Numerical encoding of curve description for the fitted Hill equation.,"Which dose-response titration points were excluded from analysis based on outlier analysis. Each number represents whether a titration point was (1) or was not (0) excluded, for the titration series going from smallest to highest compound concentrations.",Maximum activity observed for compound (usually at highest concentration tested).,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,"NCGC designation for data stage: 'qHTS', 'qHTS Verification', 'Secondary Profiling'"
RESULT_UNIT,,,,,,,NONE,MICROMOLAR,PERCENT,NONE,NONE,NONE,NONE,NONE,NONE,PERCENT,PERCENT,NONE,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,NONE
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESULT_ATTR_CONC_MICROMOL,,,,,,,,,,,,,,,,,,,,,0.0922,0.184,0.258,0.337355,0.369067,0.517453,0.737,0.922,1.29,1.83963,2.11506,2.58678,3.69,4.61,6.45,9.21842,12.687,18.7029,36.8711,46.0969,64.715,92.2,
1,842182,644438,Active,50,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000068058-01/146572433,,Activator,3.9811,223.335,,50,Partial curve; high efficacy,-5.4,0.8,0.999,212.336,-10.9993,2.1,0 0 0 0,186.259,,,,,17.0396,,,,,69.4998,,,,,,133.855,,,,186.259,,,QC'd by Asinex Ltd.
2,842243,644503,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000027050-01/146431358,,Activator,10,100.714,,43,Partial curve; high efficacy,-5,4.9549,0.9991,100.714,0,2.1,0 0 0 0,101.731,,,,,0.5972,,,,,0.9567,,,,,,38.378,,,,101.731,,,QC'd by Asinex Ltd.
3,842782,645056,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000035717-01/146624879,,Activator,11.2202,143.083,,43,Partial curve; high efficacy,-4.95,1.3723,1,129.58,-13.5036,2.1,0 0 0 0,111.9,,,,,-12.2879,,,,,-2.3889,,,,,,48.4095,,,,111.9,,,QC'd by DPISMR
4,842842,645119,Active,42,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000072253-01/146621666,,Activator,11.2202,103.173,,42,Partial curve; high efficacy,-4.95,4.9549,0.9985,106.84,3.6667,2.1,0 0 0 0,107.269,,,,,6.3696,,,,,2.5051,,,,,,30.7383,,,,107.269,,,QC'd by Asinex Ltd.
5,842892,645165,Active,45,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000029096-01/146362672,,Activator,10,185.571,,45,Partial curve; high efficacy,-5,1.2475,0.9999,183.188,-2.383,2.1,0 0 0 0,159.85,,,,,0.9834,,,,,17.4544,,,,,,84.4923,,,,159.85,,,QC'd by DPISMR
